collected_at,station,market_date,model,timezone,forecast_target,temperature_max_c,temperature_min_c,forecast_url
2026-09-10T20:16:32.880329+00:00,KDAL,2026-09-11,gfs,America/Chicago,2026-09-11,36.9,25.1,https://api.open-meteo.com/v1/gfs?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:32.880333+00:00,KDAL,2026-09-12,gfs,America/Chicago,2026-09-12,38.9,25.0,https://api.open-meteo.com/v1/gfs?latitude=32.83836&longitude=-96.83584&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:33.629182+00:00,KHOU,2026-09-10,open_meteo_best_match,America/Chicago,2026-09-10,32.8,25.5,https://api.open-meteo.com/v1/forecast?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:33.629198+00:00,KHOU,2026-09-11,open_meteo_best_match,America/Chicago,2026-09-11,31.8,24.4,https://api.open-meteo.com/v1/forecast?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:33.629201+00:00,KHOU,2026-09-12,open_meteo_best_match,America/Chicago,2026-09-12,34.7,24.5,https://api.open-meteo.com/v1/forecast?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:34.378754+00:00,KHOU,2026-09-10,ecmwf,America/Chicago,2026-09-10,31.4,23.8,https://api.open-meteo.com/v1/ecmwf?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:34.378785+00:00,KHOU,2026-09-11,ecmwf,America/Chicago,2026-09-11,31.8,24.1,https://api.open-meteo.com/v1/ecmwf?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:34.378791+00:00,KHOU,2026-09-12,ecmwf,America/Chicago,2026-09-12,32.9,25.2,https://api.open-meteo.com/v1/ecmwf?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.131130+00:00,KHOU,2026-09-10,gfs,America/Chicago,2026-09-10,32.8,25.5,https://api.open-meteo.com/v1/gfs?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.131151+00:00,KHOU,2026-09-11,gfs,America/Chicago,2026-09-11,31.8,24.4,https://api.open-meteo.com/v1/gfs?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.131156+00:00,KHOU,2026-09-12,gfs,America/Chicago,2026-09-12,34.7,24.5,https://api.open-meteo.com/v1/gfs?latitude=29.64582&longitude=-95.28214&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.880904+00:00,KLAX,2026-09-10,open_meteo_best_match,America/Los_Angeles,2026-09-10,34.5,23.6,https://api.open-meteo.com/v1/forecast?latitude=33.93817&longitude=-118.3866&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.880922+00:00,KLAX,2026-09-11,open_meteo_best_match,America/Los_Angeles,2026-09-11,30.5,20.4,https://api.open-meteo.com/v1/forecast?latitude=33.93817&longitude=-118.3866&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:35.880925+00:00,KLAX,2026-09-12,open_meteo_best_match,America/Los_Angeles,2026-09-12,28.1,19.4,https://api.open-meteo.com/v1/forecast?latitude=33.93817&longitude=-118.3866&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:36.647849+00:00,KLAX,2026-09-10,ecmwf,America/Los_Angeles,2026-09-10,36.6,24.1,https://api.open-meteo.com/v1/ecmwf?latitude=33.93817&longitude=-118.3866&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:16:36.647869+00:00,KLAX,2026-09-11,ecmwf,America/Los_Angeles,2026-09-11,34.5,22.8,https://api.open-meteo.com/v1/ecmwf?latitude=33.93817&longitude=-118.3866&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
