trade_id,opened_at,market_id,event_key,city,station,market_date,market_type,bucket_type,bucket_value,bucket_low,bucket_high,entry_price,shares,stake,model_probability,gross_edge,net_ev_per_share,fee_rate,fee_per_share,signal,status,resolved_at,result,payout,pnl,roi,resolution_source,resolution_note
paper-000034,2026-09-11T16:03:48.691625+00:00,4461760,milan|2026_09_13|highest_temperature|c|limc,Milan,LIMC,2026-09-13,highest_temperature,exact,24.0,24.0,24.0,0.03,333.33333333333337,10.0,0.164581,0.134581,0.133126,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
paper-000035,2026-09-11T16:03:48.692124+00:00,4461781,warsaw|2026_09_13|highest_temperature|c|epwa,Warsaw,EPWA,2026-09-13,highest_temperature,exact,18.0,18.0,18.0,0.08,125.0,10.0,0.214449,0.134449,0.130769,0.05,0.00368,PAPER_BUY,OPEN,,,,,,,
paper-000036,2026-09-11T16:03:48.663987+00:00,4400113,warsaw|2026_09_11|highest_temperature|c|epwa,Warsaw,EPWA,2026-09-11,highest_temperature,exact,18.0,18.0,18.0,0.005,2000.0,10.0,0.13438,0.12938,0.129132,0.05,0.00024875,PAPER_BUY,OPEN,,,,,,,
paper-000037,2026-09-11T16:03:48.691120+00:00,4461738,shanghai|2026_09_13|highest_temperature|c|zspd,Shanghai,ZSPD,2026-09-13,highest_temperature,exact,31.0,31.0,31.0,0.14,71.42857142857142,10.0,0.27399,0.13399,0.12797,0.05,0.00602,PAPER_BUY,OPEN,,,,,,,
paper-000038,2026-09-11T16:03:48.660018+00:00,4399393,helsinki|2026_09_11|lowest_temperature|c|efhk,Helsinki,EFHK,2026-09-11,lowest_temperature,or_lower,6.0,,6.0,0.02,500.0,10.0,0.143435,0.123435,0.122455,0.05,0.00098,PAPER_BUY,CLOSED,2026-09-11T21:57:32.685684+00:00,LOSS,0.0,-10.0,-1.0,Polymarket Gamma market endpoint,no_resolved
paper-000039,2026-09-11T16:03:48.678004+00:00,4431344,warsaw|2026_09_12|highest_temperature|c|epwa,Warsaw,EPWA,2026-09-12,highest_temperature,exact,17.0,17.0,17.0,0.04,250.0,10.0,0.157344,0.117344,0.115424,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000040,2026-09-11T16:03:48.656627+00:00,4399123,london|2026_09_11|lowest_temperature|c|eglc,London,EGLC,2026-09-11,lowest_temperature,exact,15.0,15.0,15.0,0.02,500.0,10.0,0.134033,0.114033,0.113053,0.05,0.00098,PAPER_BUY,OPEN,,,,,,,
paper-000041,2026-09-11T16:03:48.675187+00:00,4431194,paris|2026_09_12|highest_temperature|c|lfpb,Paris,LFPB,2026-09-12,highest_temperature,exact,23.0,23.0,23.0,0.03,333.33333333333337,10.0,0.140335,0.110335,0.10888,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
paper-000042,2026-09-11T16:03:48.690087+00:00,4461670,wellington|2026_09_13|highest_temperature|c|nzwn,Wellington,NZWN,2026-09-13,highest_temperature,exact,13.0,13.0,13.0,0.04,250.0,10.0,0.148918,0.108918,0.106998,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000043,2026-09-11T16:03:48.675450+00:00,4431205,seoul_incheon|2026_09_12|highest_temperature|c|rksi,Seoul (Incheon),RKSI,2026-09-12,highest_temperature,exact,22.0,22.0,22.0,0.009,1111.111111111111,10.0,0.113983,0.104983,0.104537,0.05,0.00044595,PAPER_BUY,OPEN,,,,,,,
paper-000044,2026-09-11T16:03:48.676783+00:00,4431276,tokyo|2026_09_12|highest_temperature|c|rjtt,Tokyo,RJTT,2026-09-12,highest_temperature,exact,26.0,26.0,26.0,0.06,166.66666666666669,10.0,0.164439,0.104439,0.101619,0.05,0.00282,PAPER_BUY,OPEN,,,,,,,
paper-000045,2026-09-11T16:03:48.693600+00:00,4461924,kuala_lumpur|2026_09_13|highest_temperature|c|wmkk,Kuala Lumpur,WMKK,2026-09-13,highest_temperature,exact,34.0,34.0,34.0,0.15,66.66666666666667,10.0,0.256285,0.106285,0.09991,0.05,0.006375,PAPER_BUY,OPEN,,,,,,,
paper-000046,2026-09-11T16:03:48.676494+00:00,4431252,munich|2026_09_12|highest_temperature|c|eddm,Munich,EDDM,2026-09-12,highest_temperature,exact,25.0,25.0,25.0,0.004,2500.0,10.0,0.103583,0.099583,0.099384,0.05,0.0001992,PAPER_BUY,OPEN,,,,,,,
paper-000047,2026-09-11T16:03:48.683594+00:00,4461045,paris|2026_09_13|lowest_temperature|c|lfpb,Paris,LFPB,2026-09-13,lowest_temperature,exact,12.0,12.0,12.0,0.04,250.0,10.0,0.140792,0.100792,0.098872,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000048,2026-09-11T16:03:48.661381+00:00,4399953,london|2026_09_11|highest_temperature|c|eglc,London,EGLC,2026-09-11,highest_temperature,exact,22.0,22.0,22.0,0.12,83.33333333333334,10.0,0.223036,0.103036,0.097756,0.05,0.00528,PAPER_BUY,OPEN,,,,,,,
paper-000049,2026-09-11T16:03:48.669912+00:00,4430376,ankara|2026_09_12|lowest_temperature|c|ltac,Ankara,LTAC,2026-09-12,lowest_temperature,exact,15.0,15.0,15.0,0.13,76.92307692307692,10.0,0.23273,0.10273,0.097075,0.05,0.005655,PAPER_BUY,OPEN,,,,,,,
paper-000050,2026-09-11T16:03:48.680287+00:00,4431541,karachi|2026_09_12|highest_temperature|c|opkc,Karachi,OPKC,2026-09-12,highest_temperature,or_higher,36.0,36.0,,0.25,40.0,10.0,0.356198,0.106198,0.096823,0.05,0.009375,PAPER_BUY,OPEN,,,,,,,
paper-000051,2026-09-11T16:58:03.753121+00:00,4430466,singapore|2026_09_12|lowest_temperature|c|wsss,Singapore,WSSS,2026-09-12,lowest_temperature,exact,27.0,27.0,27.0,0.009,1111.111111111111,10.0,0.254579,0.245579,0.245133,0.05,0.00044595,PAPER_BUY,OPEN,,,,,,,
paper-000052,2026-09-11T16:58:03.751148+00:00,4430368,seoul_incheon|2026_09_12|lowest_temperature|c|rksi,Seoul (Incheon),RKSI,2026-09-12,lowest_temperature,exact,19.0,19.0,19.0,0.13,76.92307692307692,10.0,0.307404,0.177404,0.171749,0.05,0.005655,PAPER_BUY,OPEN,,,,,,,
paper-000053,2026-09-11T21:57:28.491239+00:00,4431484,kuala_lumpur|2026_09_12|highest_temperature|c|wmkk,Kuala Lumpur,WMKK,2026-09-12,highest_temperature,exact,34.0,34.0,34.0,0.06,166.66666666666669,10.0,0.3162,0.2562,0.25338,0.05,0.00282,PAPER_BUY,OPEN,,,,,,,
paper-000054,2026-09-11T21:57:28.505283+00:00,4461674,wellington|2026_09_13|highest_temperature|c|nzwn,Wellington,NZWN,2026-09-13,highest_temperature,exact,17.0,17.0,17.0,0.025,400.0,10.0,0.247002,0.222002,0.220783,0.05,0.00121875,PAPER_BUY,OPEN,,,,,,,
