POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

LIMC | ecmwf_ifs025 | lead=2 | n=90 | min_bias=0.032C | min_rmse=1.211C | max_bias=0.667C | max_rmse=1.401C
LIMC | ecmwf_ifs025 | lead=3 | n=90 | min_bias=0.008C | min_rmse=1.261C | max_bias=0.553C | max_rmse=1.429C
LIMC | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.253C | min_rmse=1.289C | max_bias=0.438C | max_rmse=1.664C
LIMC | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.033C | min_rmse=1.434C | max_bias=0.528C | max_rmse=1.942C
LIMC | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.609C | min_rmse=1.987C | max_bias=0.748C | max_rmse=2.598C
LIMC | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.696C | min_rmse=2.167C | max_bias=0.802C | max_rmse=2.977C
LTAC | ecmwf_ifs025 | lead=1 | n=90 | min_bias=0.160C | min_rmse=1.048C | max_bias=0.438C | max_rmse=0.903C
LTAC | ecmwf_ifs025 | lead=2 | n=90 | min_bias=0.029C | min_rmse=0.953C | max_bias=0.182C | max_rmse=1.023C
LTAC | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.039C | min_rmse=0.959C | max_bias=0.096C | max_rmse=0.975C
LTAC | ecmwf_ifs025 | lead=4 | n=90 | min_bias=0.018C | min_rmse=1.036C | max_bias=-0.043C | max_rmse=1.186C
LTAC | ecmwf_ifs025 | lead=5 | n=90 | min_bias=0.138C | min_rmse=1.415C | max_bias=0.196C | max_rmse=1.488C
LTAC | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.867C | min_rmse=1.824C | max_bias=0.364C | max_rmse=1.947C
LTAC | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.958C | min_rmse=2.001C | max_bias=0.116C | max_rmse=2.161C
MMMX | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.363C | min_rmse=0.701C | max_bias=-0.879C | max_rmse=1.579C
MMMX | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.248C | min_rmse=0.679C | max_bias=-0.633C | max_rmse=1.473C
MMMX | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.077C | min_rmse=0.669C | max_bias=-0.489C | max_rmse=1.442C
MMMX | ecmwf_ifs025 | lead=4 | n=90 | min_bias=0.057C | min_rmse=0.737C | max_bias=-0.252C | max_rmse=1.511C
MMMX | ecmwf_ifs025 | lead=5 | n=90 | min_bias=0.073C | min_rmse=0.686C | max_bias=-0.198C | max_rmse=1.542C
MMMX | ecmwf_ifs025 | lead=6 | n=90 | min_bias=0.377C | min_rmse=0.841C | max_bias=0.754C | max_rmse=1.616C
MMMX | ecmwf_ifs025 | lead=7 | n=90 | min_bias=0.368C | min_rmse=0.863C | max_bias=0.962C | max_rmse=1.971C
MPMG | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.619C | min_rmse=0.825C | max_bias=0.946C | max_rmse=1.670C
